,Open,High,Low,Close,Volume
2022-07-18 10:00:00,5.75,6.24,5.75,6.2,238
2022-07-18 10:15:00,6.22,6.24,6.1,6.12,261
2022-07-18 10:30:00,6.14,6.15,6.07,6.09,117
2022-07-18 10:45:00,6.08,6.11,6.07,6.09,61
2022-07-18 11:00:00,6.09,6.1,6.05,6.05,88
2022-07-18 11:15:00,6.03,6.06,6.03,6.06,37
2022-07-18 11:30:00,6.04,6.07,6.04,6.04,23
2022-07-18 11:45:00,6.06,6.09,6.06,6.06,17
2022-07-18 12:00:00,6.05,6.06,6.03,6.06,33
2022-07-18 12:15:00,6.05,6.06,6.03,6.03,34
2022-07-18 12:30:00,6.05,6.06,6.01,6.03,64
2022-07-18 12:45:00,6.03,6.05,6.03,6.05,27
2022-07-18 13:00:00,6.03,6.05,5.92,5.96,630
2022-07-18 13:15:00,5.95,6.0,5.94,6.0,122
2022-07-18 13:30:00,6.0,6.02,5.97,5.98,174
2022-07-18 13:45:00,5.96,5.97,5.95,5.96,112
2022-07-18 14:00:00,5.94,6.2488,5.93,5.95,1667
2022-07-18 14:15:00,5.95,5.95,5.85,5.88,530
2022-07-18 14:30:00,5.86,5.9499,5.86,5.93,611
2022-07-18 14:45:00,5.92,5.98,5.9,5.97,363
2022-07-18 15:00:00,5.97,5.98,5.93,5.97,278
2022-07-18 15:15:00,5.95,5.98,5.9,5.93,606
2022-07-18 15:30:00,5.94,6.4899,5.92,6.435,51196
2022-07-18 15:45:00,6.4317,6.57,6.35,6.5099,22060
2022-07-18 16:00:00,6.51,6.53,6.3,6.33,18750
2022-07-18 16:15:00,6.3312,6.4301,6.2723,6.41,9489
2022-07-18 16:30:00,6.41,6.52,6.4,6.511,13077
2022-07-18 16:45:00,6.515,6.55,6.3812,6.5214,11153
2022-07-18 17:00:00,6.522,6.69,6.52,6.5618,28987
2022-07-18 17:15:00,6.5644,6.66,6.545,6.65,10598
2022-07-18 17:30:00,6.65,6.6902,6.56,6.6399,10663
2022-07-18 17:45:00,6.64,6.76,6.605,6.7298,12994
2022-07-18 18:00:00,6.73,6.815,6.7,6.75,17810
2022-07-18 18:15:00,6.75,6.88,6.7,6.85,18505
2022-07-18 18:30:00,6.85,6.86,6.67,6.7,19596
2022-07-18 18:45:00,6.7,6.73,6.62,6.675,12149
2022-07-18 19:00:00,6.6715,6.74,6.57,6.6477,11464
2022-07-18 19:15:00,6.65,6.66,6.56,6.6001,10512
2022-07-18 19:30:00,6.6001,6.615,6.44,6.4501,9437
2022-07-18 19:45:00,6.45,6.49,6.335,6.355,9990
2022-07-18 20:00:00,6.35,6.42,6.305,6.41,8716
2022-07-18 20:15:00,6.41,6.46,6.3514,6.3514,8849
2022-07-18 20:30:00,6.36,6.42,6.25,6.2511,7948
2022-07-18 20:45:00,6.255,6.29,6.235,6.275,8033
2022-07-18 21:00:00,6.275,6.2899,6.2108,6.23,5573
2022-07-18 21:15:00,6.235,6.31,6.23,6.245,5980
2022-07-18 21:30:00,6.245,6.33,6.23,6.32,6230
2022-07-18 21:45:00,6.31,6.32,6.195,6.24,16245
2022-07-18 22:00:00,6.23,6.28,6.21,6.2501,2083
2022-07-18 22:15:00,6.26,6.28,6.24,6.28,145
2022-07-18 22:30:00,6.27,6.29,6.25,6.29,198
2022-07-18 22:45:00,6.28,6.29,6.2699,6.28,56
2022-07-18 23:00:00,6.28,6.28,6.26,6.27,69
2022-07-18 23:15:00,6.27,6.28,6.24,6.28,80
2022-07-18 23:30:00,6.2799,6.2799,6.24,6.26,174
2022-07-18 23:45:00,6.27,6.28,6.268,6.28,175
2022-07-19 00:00:00,6.27,6.33,6.27,6.33,89
2022-07-19 00:15:00,6.34,6.37,6.3,6.37,313
2022-07-19 00:30:00,6.32,6.38,6.3,6.36,143
2022-07-19 00:45:00,6.36,6.46,6.36,6.42,276
2022-07-19 01:00:00,6.41,6.48,6.41,6.45,179
2022-07-19 01:15:00,6.45,6.48,6.35,6.45,235
2022-07-19 01:30:00,6.4,6.49,6.4,6.47,126
2022-07-19 01:45:00,6.5,6.71,6.5,6.7,515
2022-07-19 10:00:00,6.38,6.65,6.36,6.42,101
2022-07-19 10:15:00,6.42,6.43,6.37,6.43,19
2022-07-19 10:30:00,6.44,6.5,6.44,6.5,40
2022-07-19 10:45:00,6.5,6.54,6.5,6.5,38
2022-07-19 11:00:00,6.51,6.51,6.5,6.51,21
2022-07-19 11:15:00,6.53,6.55,6.51,6.51,41
2022-07-19 11:30:00,6.5,6.54,6.5,6.54,24
2022-07-19 11:45:00,6.55,6.56,6.48,6.48,92
2022-07-19 12:00:00,6.45,6.5,6.45,6.5,64
2022-07-19 12:15:00,6.51,6.51,6.43,6.44,20
2022-07-19 12:30:00,6.44,6.44,6.42,6.43,16
2022-07-19 12:45:00,6.5,6.5,6.47,6.47,14
2022-07-19 13:00:00,6.49,6.52,6.35,6.47,250
2022-07-19 13:15:00,6.46,6.51,6.46,6.5,29
2022-07-19 13:30:00,6.51,6.65,6.5,6.58,308
2022-07-19 13:45:00,6.51,6.55,6.46,6.46,174
2022-07-19 14:00:00,6.53,6.65,6.2512,6.53,1472
2022-07-19 14:15:00,6.5299,6.53,6.45,6.52,231
2022-07-19 14:30:00,6.49,6.53,6.48,6.52,276
2022-07-19 14:45:00,6.54,6.64,6.54,6.6,666
2022-07-19 15:00:00,6.605,6.7,6.6,6.65,1021
2022-07-19 15:15:00,6.65,6.78,6.58,6.59,1613
2022-07-19 15:30:00,6.6,6.68,6.42,6.545,26516
2022-07-19 15:45:00,6.55,6.55,6.33,6.505,12862
2022-07-19 16:00:00,6.505,6.64,6.4306,6.475,12156
2022-07-19 16:15:00,6.48,6.56,6.39,6.545,9261
2022-07-19 16:30:00,6.5499,6.64,6.495,6.6285,8238
2022-07-19 16:45:00,6.62,6.725,6.59,6.6884,12033
2022-07-19 17:00:00,6.69,6.845,6.685,6.81,15348
2022-07-19 17:15:00,6.815,6.86,6.7,6.755,16949
2022-07-19 17:30:00,6.76,6.895,6.76,6.825,13770
2022-07-19 17:45:00,6.8216,6.89,6.8,6.8517,8822
2022-07-19 18:00:00,6.855,6.975,6.85,6.91,15672
2022-07-19 18:15:00,6.91,6.95,6.84,6.9048,12187
2022-07-19 18:30:00,6.905,7.0,6.88,6.93,13732
2022-07-19 18:45:00,6.9314,6.96,6.8,6.84,14422
2022-07-19 19:00:00,6.84,6.86,6.75,6.81,7406
2022-07-19 19:15:00,6.8141,6.84,6.72,6.7704,5660
2022-07-19 19:30:00,6.7787,6.85,6.77,6.845,7552
2022-07-19 19:45:00,6.845,6.9,6.83,6.84,9508
2022-07-19 20:00:00,6.84,6.9,6.79,6.8,6221
2022-07-19 20:15:00,6.79,6.84,6.74,6.75,6395
2022-07-19 20:30:00,6.7499,6.84,6.74,6.81,7427
2022-07-19 20:45:00,6.81,6.8299,6.7601,6.8101,5591
2022-07-19 21:00:00,6.815,6.9,6.81,6.8894,7756
2022-07-19 21:15:00,6.89,7.03,6.85,6.95,20556
2022-07-19 21:30:00,6.945,7.02,6.94,7.0,15865
2022-07-19 21:45:00,7.0,7.05,6.93,6.97,24824
2022-07-19 22:00:00,6.98,7.05,6.8,7.01,3187
2022-07-19 22:15:00,6.98,7.11,6.98,7.05,1897
2022-07-19 22:30:00,7.07,7.0999,7.0,7.0499,447
2022-07-19 22:45:00,7.0,7.07,6.98,7.07,490
2022-07-19 23:00:00,7.07,7.12,6.98,7.08,420
2022-07-19 23:15:00,7.08,7.28,7.055,7.2,676
2022-07-19 23:30:00,7.18,7.5,7.18,7.4599,2325
2022-07-19 23:45:00,7.45,7.46,7.32,7.42,1954
2022-07-20 00:00:00,7.41,7.42,7.35,7.38,575
2022-07-20 00:15:00,7.37,7.38,7.23,7.32,644
2022-07-20 00:30:00,7.25,7.33,7.23,7.3,284
2022-07-20 00:45:00,7.26,7.35,7.25,7.34,470
2022-07-20 01:00:00,7.32,7.45,7.31,7.42,319
2022-07-20 01:15:00,7.4,7.4,7.25,7.29,481
2022-07-20 01:30:00,7.29,7.32,7.25,7.25,244
2022-07-20 01:45:00,7.25,7.29,7.25,7.29,137
